[2025-11-24 16:12:08] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-normalized-probe', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'normalized', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-24 16:12:08] Save Directory: ./checkpoints/gsm-coconut/gsm-normalized-probe
[2025-11-24 16:12:14] Initializing Coconut with mode: normalized
[2025-11-24 16:12:14] Running FSDP on rank = 0
[2025-11-24 16:13:18] {"epoch": 4, "step": 1, "loss": 5.086, "avg_alpha": 2.1487, "avg_norm": 2.1991, "avg_cosine": 0.7019}
[2025-11-24 16:13:20] {"epoch": 4, "step": 2, "loss": 4.0431, "avg_alpha": 2.1995, "avg_norm": 2.2402, "avg_cosine": 0.8102}
[2025-11-24 16:13:21] {"epoch": 4, "step": 3, "loss": 3.3986, "avg_alpha": 1.9199, "avg_norm": 1.9285, "avg_cosine": 0.8991}
[2025-11-24 16:13:23] {"epoch": 4, "step": 4, "loss": 2.9628, "avg_alpha": 1.6152, "avg_norm": 1.6267, "avg_cosine": 0.8426}
[2025-11-24 16:13:24] {"epoch": 4, "step": 5, "loss": 2.6103, "avg_alpha": 1.4842, "avg_norm": 1.5116, "avg_cosine": 0.9593}
[2025-11-24 16:13:25] {"epoch": 4, "step": 6, "loss": 2.4025, "avg_alpha": 1.1863, "avg_norm": 1.2053, "avg_cosine": 0.6895}
[2025-11-24 16:13:27] {"epoch": 4, "step": 7, "loss": 2.336, "avg_alpha": 0.8978, "avg_norm": 0.9178, "avg_cosine": 0.7294}
[2025-11-24 16:13:28] {"epoch": 4, "step": 8, "loss": 2.2227, "avg_alpha": 0.7625, "avg_norm": 0.8413, "avg_cosine": 0.6323}
[2025-11-24 16:13:30] {"epoch": 4, "step": 9, "loss": 2.0117, "avg_alpha": 0.5327, "avg_norm": 0.622, "avg_cosine": 0.5782}
[2025-11-24 16:13:32] {"epoch": 4, "step": 10, "loss": 1.8515, "avg_alpha": 0.4378, "avg_norm": 0.5689, "avg_cosine": 0.6876}
[2025-11-24 16:13:33] {"epoch": 4, "step": 11, "loss": 2.0487, "avg_alpha": 0.2231, "avg_norm": 0.4458, "avg_cosine": 0.3853}
[2025-11-24 16:13:34] {"epoch": 4, "step": 12, "loss": 1.7035, "avg_alpha": 0.1749, "avg_norm": 0.384, "avg_cosine": 0.3192}
[2025-11-24 16:13:36] {"epoch": 4, "step": 13, "loss": 1.7444, "avg_alpha": 0.1369, "avg_norm": 0.3127, "avg_cosine": 0.2609}
[2025-11-24 16:13:37] {"epoch": 4, "step": 14, "loss": 1.8184, "avg_alpha": -0.0247, "avg_norm": 0.3497, "avg_cosine": 0.2539}
[2025-11-24 16:13:38] {"epoch": 4, "step": 15, "loss": 1.742, "avg_alpha": -0.1194, "avg_norm": 0.3441, "avg_cosine": -0.1058}
[2025-11-24 16:13:40] {"epoch": 4, "step": 16, "loss": 1.6765, "avg_alpha": -0.0651, "avg_norm": 0.2806, "avg_cosine": 0.0054}
[2025-11-24 16:13:42] {"epoch": 4, "step": 17, "loss": 1.655, "avg_alpha": -0.1232, "avg_norm": 0.2751, "avg_cosine": -0.0624}
[2025-11-24 16:13:43] {"epoch": 4, "step": 18, "loss": 1.5557, "avg_alpha": -0.2013, "avg_norm": 0.3278, "avg_cosine": 0.5497}
[2025-11-24 16:13:45] {"epoch": 4, "step": 19, "loss": 1.6307, "avg_alpha": -0.2555, "avg_norm": 0.309, "avg_cosine": 0.3722}
[2025-11-24 16:13:46] {"epoch": 4, "step": 20, "loss": 1.6478, "avg_alpha": -0.3151, "avg_norm": 0.4053, "avg_cosine": 0.3639}
[2025-11-24 16:13:48] {"epoch": 4, "step": 21, "loss": 1.5458, "avg_alpha": -0.2204, "avg_norm": 0.3489, "avg_cosine": 0.4262}
[2025-11-24 16:13:49] {"epoch": 4, "step": 22, "loss": 1.6028, "avg_alpha": -0.3179, "avg_norm": 0.4321, "avg_cosine": 0.3747}
[2025-11-24 16:13:51] {"epoch": 4, "step": 23, "loss": 1.5059, "avg_alpha": -0.3248, "avg_norm": 0.4067, "avg_cosine": 0.3321}
