[2025-11-24 16:04:52] Config Loaded: {'project': 'test', 'save_path': './checkpoints/gsm-coconut', 'name': 'gsm-residual-probe', 'only_eval': False, 'coconut': True, 'decoupling_mode': 'residual', 'cot': False, 'no_thoughts': False, 'no_cot': False, 'c_thought': 2, 'epochs_per_stage': 3, 'max_latent_stage': 3, 'pad_latent_to_max': True, 'save_only_improve': False, 'uniform_prob': 0.0, 'model_id': 'openai-community/gpt2', 'load_model_path': 'None', 'seed': 0, 'resume': 3, 'bf16': False, 'train_path': 'data/gsm_train.json', 'val_path': 'data/gsm_valid.json', 'reset_optimizer': True, 'batch_size_training': 32, 'debug': False, 'gradient_accumulation_steps': 1, 'num_epochs': 25, 'lr': 0.0001, 'weight_decay': 0.01}
[2025-11-24 16:04:52] Save Directory: ./checkpoints/gsm-coconut/gsm-residual-probe
[2025-11-24 16:04:58] Initializing Coconut with mode: residual
[2025-11-24 16:04:58] Running FSDP on rank = 0
[2025-11-24 16:05:59] {"epoch": 4, "step": 1, "loss": 6.2693, "avg_alpha": 3.7717, "avg_norm": 1758.8103, "avg_cosine": 0.9767}
[2025-11-24 16:06:00] {"epoch": 4, "step": 2, "loss": 5.8908, "avg_alpha": 4.2372, "avg_norm": 2021.4402, "avg_cosine": 0.9742}
[2025-11-24 16:06:02] {"epoch": 4, "step": 3, "loss": 4.715, "avg_alpha": 3.9627, "avg_norm": 1907.0331, "avg_cosine": 0.8999}
[2025-11-24 16:06:04] {"epoch": 4, "step": 4, "loss": 3.9154, "avg_alpha": 3.7041, "avg_norm": 1782.3225, "avg_cosine": 0.9395}
[2025-11-24 16:06:05] {"epoch": 4, "step": 5, "loss": 3.2472, "avg_alpha": 4.3446, "avg_norm": 2094.5244, "avg_cosine": 0.9764}
[2025-11-24 16:06:06] {"epoch": 4, "step": 6, "loss": 3.0588, "avg_alpha": 4.2224, "avg_norm": 2024.7961, "avg_cosine": 0.9722}
[2025-11-24 16:06:08] {"epoch": 4, "step": 7, "loss": 3.0531, "avg_alpha": 4.2071, "avg_norm": 2014.6023, "avg_cosine": 0.9709}
[2025-11-24 16:06:09] {"epoch": 4, "step": 8, "loss": 2.8971, "avg_alpha": 4.3982, "avg_norm": 2096.0583, "avg_cosine": 0.8724}
[2025-11-24 16:06:11] {"epoch": 4, "step": 9, "loss": 2.4856, "avg_alpha": 3.9684, "avg_norm": 1891.0355, "avg_cosine": 0.9705}
[2025-11-24 16:06:12] {"epoch": 4, "step": 10, "loss": 2.2698, "avg_alpha": 4.2749, "avg_norm": 2009.0052, "avg_cosine": 0.9738}
[2025-11-24 16:06:14] {"epoch": 4, "step": 11, "loss": 2.4033, "avg_alpha": 4.024, "avg_norm": 1813.7971, "avg_cosine": 0.964}
